candidate,county,district,office,party,votes
Paul Ray,Stark,61.0,State Representative,Independent,974
Vernon Sykes,Summit,44.0,State Representative,Democratic,37314
Brian Williams,Summit,41.0,State Representative,Democratic,35240
Mike Moran,Summit,42.0,State Representative,Democratic,32739
John Otterman,Summit,45.0,State Representative,Democratic,30229
Randy Cole,Summit,41.0,State Representative,Republican,29820
Richard Nero,Summit,42.0,State Representative,Republican,25858
Stephen Dyer,Summit,43.0,State Representative,Democratic,25016
Judy Jones,Summit,43.0,State Representative,Republican,17557
Joe Fazek,Summit,45.0,State Representative,Republican,12050
Sandra Harwood,Trumbull,65.0,State Representative,Democratic,33609
Tom Letson,Trumbull,64.0,State Representative,Democratic,31783
Thomas Montgomery,Trumbull,64.0,State Representative,Republican,15290
Lyle Waddell,Trumbull,65.0,State Representative,Republican,11383
Timothy McNeil,Trumbull,65.0,State Representative,Libertarian,3846
Deborah Newcomb,Trumbull,99.0,State Representative,Democratic,1223
Tom Nizen,Trumbull,99.0,State Representative,Republican,1062
Allan Sayre,Tuscarawas,96.0,State Representative,Democratic,27192
Mark Okey,Tuscarawas,61.0,State Representative,Democratic,4776
Kirk Susany,Tuscarawas,61.0,State Representative,Republican,1658
Paul Ray,Tuscarawas,61.0,State Representative,Independent,227
Dallas Charton,Tuscarawas,96.0,State Representative,Independent,0
Dave Burke,Union,83.0,State Representative,Republican,19492
Lynn Wachtmann,Van Wert,75.0,State Representative,Republican,11451
Clyde Evans,Vinton,87.0,State Representative,Republican,3130
Shane Meldick,Vinton,87.0,State Representative,Democratic,2453
Shannon Jones,Warren,67.0,State Representative,Republican,51236
Ron Maag,Warren,35.0,State Representative,Republican,27534
Marcia Garrison,Warren,35.0,State Representative,Independent,30
Jonathan Morris,Warren,35.0,State Representative,Independent,2
Jennifer Garrison,Washington,93.0,State Representative,Democratic,13042
Wayne Smith,Washington,93.0,State Representative,Republican,6428
Jill Thompson,Washington,92.0,State Representative,Republican,5460
Debbie Phillips,Washington,92.0,State Representative,Democratic,3744
Ron Amstutz,Wayne,3.0,State Representative,Republican,32034
Merle Miller,Wayne,3.0,State Representative,Democratic,17199
Bruce Goodwin,Williams,74.0,State Representative,Republican,10747
David Pilliod,Williams,74.0,State Representative,Democratic,5822
Randy Gardner,Wood,6.0,State Representative,Republican,37253
Jeffery Bretz,Wood,6.0,State Representative,Democratic,22858
Jeffrey McClain,Wyandot,82.0,State Representative,Republican,7366
Wanda Sharrock,Wyandot,82.0,State Representative,Democratic,2512
Mark Smith,Wyandot,82.0,State Representative,Independent,699
Tom Niehaus,Adams,14.0,State Senate,Republican,6811
Gregory Napolitano,Adams,14.0,State Senate,Democratic,3196
Margaret Leech,Adams,14.0,State Senate,Libertarian,509
Keith Faber,Allen,12.0,State Senate,Republican,31183
Thomas Matthew,Allen,12.0,State Senate,Democratic,15653
Jack Kaffenberger,Allen,12.0,State Senate,Independent,1261
Bob Gibbs,Ashland,22.0,State Senate,Republican,11063
James Riley,Ashland,22.0,State Senate,Democratic,6376
Capri Cafaro,Ashtabula,32.0,State Senate,Democratic,32211
Jimmy Stewart,Athens,20.0,State Senate,Republican,14984
Rick Shriver,Athens,20.0,State Senate,Democratic,11801
Timothy Kettler,Athens,20.0,State Senate,Green,2066
Keith Faber,Auglaize,12.0,State Senate,Republican,10524
Thomas Matthew,Auglaize,12.0,State Senate,Democratic,4091
Jack Kaffenberger,Auglaize,12.0,State Senate,Independent,542
Jason Wilson,Belmont,30.0,State Senate,Democratic,21575
Tim Ginter,Belmont,30.0,State Senate,Republican,10023
Tom Niehaus,Brown,14.0,State Senate,Republican,12310
Gregory Napolitano,Brown,14.0,State Senate,Democratic,5835
Margaret Leech,Brown,14.0,State Senate,Libertarian,1109
Gary Cates,Butler,4.0,State Senate,Republican,95137
Kathryn Bridgman,Butler,4.0,State Senate,Democratic,60397
Keith Faber,Champaign,12.0,State Senate,Republican,10042
Thomas Matthew,Champaign,12.0,State Senate,Democratic,6117
Jack Kaffenberger,Champaign,12.0,State Senate,Independent,1140
Chris Widener,Clark,10.0,State Senate,Republican,36997
Roger Tackett,Clark,10.0,State Senate,Democratic,28293
Tom Niehaus,Clermont,14.0,State Senate,Republican,61604
Gregory Napolitano,Clermont,14.0,State Senate,Democratic,22957
Margaret Leech,Clermont,14.0,State Senate,Libertarian,5330
Jason Wilson,Columbiana,30.0,State Senate,Democratic,26086
Tim Ginter,Columbiana,30.0,State Senate,Republican,20561
Jimmy Stewart,Coshocton,20.0,State Senate,Republican,8515
Rick Shriver,Coshocton,20.0,State Senate,Democratic,6182
Timothy Kettler,Coshocton,20.0,State Senate,Green,1263
Karen Gillmor,Crawford,26.0,State Senate,Republican,12221
Thomas Kruse,Crawford,26.0,State Senate,Democratic,7429
Thomas Patton,Cuyahoga,24.0,State Senate,Republican,125159
Gary Kucinich,Cuyahoga,24.0,State Senate,Democratic,57839
Timothy Grendell,Cuyahoga,18.0,State Senate,Republican,6945
Keith Faber,Darke,12.0,State Senate,Republican,11542
Thomas Matthew,Darke,12.0,State Senate,Democratic,3617
Jack Kaffenberger,Darke,12.0,State Senate,Independent,1234
Jackie Brown,Erie,2.0,State Senate,Democratic,19268
Mark Wagoner,Erie,2.0,State Senate,Republican,19189
Jim Hughes,Franklin,16.0,State Senate,Republican,106708
Danielle Blue,Franklin,16.0,State Senate,Democratic,77070
Timothy Grendell,Geauga,18.0,State Senate,Republican,37658
Chris Widener,Greene,10.0,State Senate,Republican,51679
Roger Tackett,Greene,10.0,State Senate,Democratic,26630
Jimmy Stewart,Guernsey,20.0,State Senate,Republican,8812
Rick Shriver,Guernsey,20.0,State Senate,Democratic,6484
Timothy Kettler,Guernsey,20.0,State Senate,Green,881
William Seitz,Hamilton,8.0,State Senate,Republican,101944
Daniel McCarthy,Hamilton,8.0,State Senate,Democratic,69425
Jason Wilson,Harrison,30.0,State Senate,Democratic,4651
Tim Ginter,Harrison,30.0,State Senate,Republican,2869
Bob Gibbs,Holmes,22.0,State Senate,Republican,8302
James Riley,Holmes,22.0,State Senate,Democratic,2286
Jason Wilson,Jefferson,30.0,State Senate,Democratic,21625
Tim Ginter,Jefferson,30.0,State Senate,Republican,12735
Timothy Grendell,Lake,18.0,State Senate,Republican,80817
Tom Niehaus,Lawrence,14.0,State Senate,Republican,6028
Gregory Napolitano,Lawrence,14.0,State Senate,Democratic,5888
Margaret Leech,Lawrence,14.0,State Senate,Libertarian,735
Karen Gillmor,Logan,26.0,State Senate,Republican,14085
Thomas Kruse,Logan,26.0,State Senate,Democratic,6822
Mark Wagoner,Lucas,2.0,State Senate,Republican,44313
Jackie Brown,Lucas,2.0,State Senate,Democratic,21957
Chris Widener,Madison,10.0,State Senate,Republican,10832
Roger Tackett,Madison,10.0,State Senate,Democratic,5864
Karen Gillmor,Marion,26.0,State Senate,Republican,15297
Thomas Kruse,Marion,26.0,State Senate,Democratic,11651
Bob Gibbs,Medina,22.0,State Senate,Republican,42810
James Riley,Medina,22.0,State Senate,Democratic,34677
Jimmy Stewart,Meigs,20.0,State Senate,Republican,6846
Rick Shriver,Meigs,20.0,State Senate,Democratic,2938
Timothy Kettler,Meigs,20.0,State Senate,Green,331
Keith Faber,Mercer,12.0,State Senate,Republican,15979
Thomas Matthew,Mercer,12.0,State Senate,Democratic,4106
Jack Kaffenberger,Mercer,12.0,State Senate,Independent,776
Rick Shriver,Monroe,20.0,State Senate,Democratic,4128
Jimmy Stewart,Monroe,20.0,State Senate,Republican,2230
Timothy Kettler,Monroe,20.0,State Senate,Green,246
Jon Husted,Montgomery,6.0,State Senate,Republican,103975
John Doll,Montgomery,6.0,State Senate,Democratic,65216
Jimmy Stewart,Morgan,20.0,State Senate,Republican,3706
Rick Shriver,Morgan,20.0,State Senate,Democratic,2555
Timothy Kettler,Morgan,20.0,State Senate,Green,260
Jimmy Stewart,Muskingum,20.0,State Senate,Republican,20124
Rick Shriver,Muskingum,20.0,State Senate,Democratic,14755
Timothy Kettler,Muskingum,20.0,State Senate,Green,2097
Jimmy Stewart,Noble,20.0,State Senate,Republican,3054
Rick Shriver,Noble,20.0,State Senate,Democratic,2434
Timothy Kettler,Noble,20.0,State Senate,Green,261
Mark Wagoner,Ottawa,2.0,State Senate,Republican,10036
Jackie Brown,Ottawa,2.0,State Senate,Democratic,7445
Karen Gillmor,Ottawa,26.0,State Senate,Republican,2582
Thomas Kruse,Ottawa,26.0,State Senate,Democratic,2004
Thomas Sawyer,Portage,28.0,State Senate,Democratic,44272
James Carr,Portage,28.0,State Senate,Republican,26430
Keith Faber,Preble,12.0,State Senate,Republican,12673
Thomas Matthew,Preble,12.0,State Senate,Democratic,6359
Jack Kaffenberger,Preble,12.0,State Senate,Independent,731
Karen Gillmor,Sandusky,26.0,State Senate,Republican,17965
Thomas Kruse,Sandusky,26.0,State Senate,Democratic,11207
Tom Niehaus,Scioto,14.0,State Senate,Republican,14555
Gregory Napolitano,Scioto,14.0,State Senate,Democratic,14168
Margaret Leech,Scioto,14.0,State Senate,Libertarian,1648
Karen Gillmor,Seneca,26.0,State Senate,Republican,14662
Thomas Kruse,Seneca,26.0,State Senate,Democratic,7335
Keith Faber,Shelby,12.0,State Senate,Republican,14694
Thomas Matthew,Shelby,12.0,State Senate,Democratic,6330
Jack Kaffenberger,Shelby,12.0,State Senate,Independent,1066
Thomas Sawyer,Summit,28.0,State Senate,Democratic,63896
James Carr,Summit,28.0,State Senate,Republican,23634
Capri Cafaro,Trumbull,32.0,State Senate,Democratic,76962
Jason Wilson,Tuscarawas,30.0,State Senate,Democratic,18990
Tim Ginter,Tuscarawas,30.0,State Senate,Republican,13573
Karen Gillmor,Union,26.0,State Senate,Republican,15065
Thomas Kruse,Union,26.0,State Senate,Democratic,8161
Jimmy Stewart,Washington,20.0,State Senate,Republican,16393
Rick Shriver,Washington,20.0,State Senate,Democratic,10991
Timothy Kettler,Washington,20.0,State Senate,Green,1133
Bob Gibbs,Wayne,22.0,State Senate,Republican,27936
James Riley,Wayne,22.0,State Senate,Democratic,19165
Mark Wagoner,Wood,2.0,State Senate,Republican,35987
Jackie Brown,Wood,2.0,State Senate,Democratic,23709
Karen Gillmor,Wyandot,26.0,State Senate,Republican,7006
Thomas Kruse,Wyandot,26.0,State Senate,Democratic,3373
Jean Schmidt,Adams,2.0,US Representative,Republican,5462
Victoria Wulsin,Adams,2.0,US Representative,Democratic,3804
David Krikorian,Adams,2.0,US Representative,Independent,1860
James Condit,Adams,2.0,US Representative,Independent,0
Jim Jordan,Allen,4.0,US Representative,Republican,33196
Mike Carroll,Allen,4.0,US Representative,Democratic,15841
Kirk Schuring,Ashland,16.0,US Representative,Republican,9273
John Boccieri,Ashland,16.0,US Representative,Democratic,8952
Bob Latta,Ashland,5.0,US Representative,Republican,3266
George Mays,Ashland,5.0,US Representative,Democratic,2093
Steven LaTourette,Ashtabula,14.0,US Representative,Republican,22912
Bill O'Neill,Ashtabula,14.0,US Representative,Democratic,19356
David Macko,Ashtabula,14.0,US Representative,Libertarian,1477
Charlie Wilson,Athens,6.0,US Representative,Democratic,13479
Richard Stobbs,Athens,6.0,US Representative,Republican,5623
Zack Space,Athens,18.0,US Representative,Democratic,5352
Dennis Spisak,Athens,6.0,US Representative,Green,2065
Fred Dailey,Athens,18.0,US Representative,Republican,1520
Jim Jordan,Auglaize,4.0,US Representative,Republican,17189
Mike Carroll,Auglaize,4.0,US Representative,Democratic,5779
Charlie Wilson,Belmont,6.0,US Representative,Democratic,18412
Richard Stobbs,Belmont,6.0,US Representative,Republican,5401
Zack Space,Belmont,18.0,US Representative,Democratic,4343
Fred Dailey,Belmont,18.0,US Representative,Republican,3036
Dennis Spisak,Belmont,6.0,US Representative,Green,706
Jean Schmidt,Brown,2.0,US Representative,Republican,7782
Victoria Wulsin,Brown,2.0,US Representative,Democratic,6144
David Krikorian,Brown,2.0,US Representative,Independent,5940
James Condit,Brown,2.0,US Representative,Independent,0
John Boehner,Butler,8.0,US Representative,Republican,99382
Nicholas von Stein,Butler,8.0,US Representative,Democratic,50644
Steve Chabot,Butler,1.0,US Representative,Republican,9457
Steve Driehaus,Butler,1.0,US Representative,Democratic,3542
Rich Stevenson,Butler,1.0,US Representative,Independent,0
Eric Wilson,Butler,1.0,US Representative,Independent,0
Zack Space,Carroll,18.0,US Representative,Democratic,7781
Fred Dailey,Carroll,18.0,US Representative,Republican,5609
Jim Jordan,Champaign,4.0,US Representative,Republican,12632
Mike Carroll,Champaign,4.0,US Representative,Democratic,5758
Steve Austria,Clark,7.0,US Representative,Republican,35995
Sharen Neuhardt,Clark,7.0,US Representative,Democratic,28623
Jean Schmidt,Clermont,2.0,US Representative,Republican,44955
Victoria Wulsin,Clermont,2.0,US Representative,Democratic,28688
David Krikorian,Clermont,2.0,US Representative,Independent,19104
James Condit,Clermont,2.0,US Representative,Independent,7
Mike Turner,Clinton,3.0,US Representative,Republican,13374
Jane Mitakides,Clinton,3.0,US Representative,Democratic,5183
Charlie Wilson,Columbiana,6.0,US Representative,Democratic,28947
Richard Stobbs,Columbiana,6.0,US Representative,Republican,15391
Dennis Spisak,Columbiana,6.0,US Representative,Green,2637
Zack Space,Coshocton,18.0,US Representative,Democratic,9863
Fred Dailey,Coshocton,18.0,US Representative,Republican,6561
Bob Latta,Crawford,5.0,US Representative,Republican,11732
George Mays,Crawford,5.0,US Representative,Democratic,7609
Marcia Fudge,Cuyahoga,11.0,US Representative,Democratic,212667
Dennis Kucinich,Cuyahoga,10.0,US Representative,Democratic,157268
Jim Trakas,Cuyahoga,10.0,US Representative,Republican,107918
Thomas Pekarek,Cuyahoga,11.0,US Representative,Republican,36708
Betty Sutton,Cuyahoga,13.0,US Representative,Democratic,23723
David Potter,Cuyahoga,13.0,US Representative,Republican,23040
Steven LaTourette,Cuyahoga,14.0,US Representative,Republican,15560
Paul Conroy,Cuyahoga,10.0,US Representative,Libertarian,10623
Bill O'Neill,Cuyahoga,14.0,US Representative,Democratic,9978
David Macko,Cuyahoga,14.0,US Representative,Libertarian,554
Craig Willis,Cuyahoga,11.0,US Representative,Independent,144
Eric Johnson,Cuyahoga,11.0,US Representative,Independent,23
Robert Crow,Cuyahoga,13.0,US Representative,Independent,1
Robert Reed,Cuyahoga,11.0,US Representative,Independent,0
John Boehner,Darke,8.0,US Representative,Republican,19069
Nicholas von Stein,Darke,8.0,US Representative,Democratic,5597
Bob Latta,Defiance,5.0,US Representative,Republican,11872
George Mays,Defiance,5.0,US Representative,Democratic,6441
Pat Tiberi,Delaware,12.0,US Representative,Republican,60785
David Robinson,Delaware,12.0,US Representative,Democratic,24726
Steven Linnabary,Delaware,12.0,US Representative,Libertarian,2663
Marcy Kaptur,Erie,9.0,US Representative,Democratic,27219
Bradley Leavitt,Erie,9.0,US Representative,Republican,12105
Steve Austria,Fairfield,7.0,US Representative,Republican,41727
Sharen Neuhardt,Fairfield,7.0,US Representative,Democratic,25207
Steve Austria,Fayette,7.0,US Representative,Republican,7047
Sharen Neuhardt,Fayette,7.0,US Representative,Democratic,3857
Mary Jo Kilroy,Franklin,15.0,US Representative,Democratic,127519
Steve Stivers,Franklin,15.0,US Representative,Republican,112669
David Robinson,Franklin,12.0,US Representative,Democratic,111468
Pat Tiberi,Franklin,12.0,US Representative,Republican,101698
Sharen Neuhardt,Franklin,7.0,US Representative,Democratic,23129
Steve Austria,Franklin,7.0,US Representative,Republican,15991
Mark Noble,Franklin,15.0,US Representative,Libertarian,12089
Don Eckhart,Franklin,15.0,US Representative,Independent,10928
Steven Linnabary,Franklin,12.0,US Representative,Libertarian,6480
Travis Casper,Franklin,15.0,US Representative,Independent,6
Bob Latta,Fulton,5.0,US Representative,Republican,13412
George Mays,Fulton,5.0,US Representative,Democratic,6938
Charlie Wilson,Gallia,6.0,US Representative,Democratic,6289
Richard Stobbs,Gallia,6.0,US Representative,Republican,5305
Dennis Spisak,Gallia,6.0,US Representative,Green,428
Steven LaTourette,Geauga,14.0,US Representative,Republican,30144
Bill O'Neill,Geauga,14.0,US Representative,Democratic,16850
David Macko,Geauga,14.0,US Representative,Libertarian,1409
Steve Austria,Greene,7.0,US Representative,Republican,51090
Sharen Neuhardt,Greene,7.0,US Representative,Democratic,27479
Zack Space,Guernsey,18.0,US Representative,Democratic,10177
Fred Dailey,Guernsey,18.0,US Representative,Republican,6506
Steve Driehaus,Hamilton,1.0,US Representative,Democratic,151913
Steve Chabot,Hamilton,1.0,US Representative,Republican,131226
Victoria Wulsin,Hamilton,2.0,US Representative,Democratic,54004
Jean Schmidt,Hamilton,2.0,US Representative,Republican,53051
David Krikorian,Hamilton,2.0,US Representative,Independent,22511
Eric Wilson,Hamilton,1.0,US Representative,Independent,85
Rich Stevenson,Hamilton,1.0,US Representative,Independent,67
James Condit,Hamilton,2.0,US Representative,Independent,19
Jim Jordan,Hancock,4.0,US Representative,Republican,23658
Mike Carroll,Hancock,4.0,US Representative,Democratic,10578
Jim Jordan,Hardin,4.0,US Representative,Republican,8245
Mike Carroll,Hardin,4.0,US Representative,Democratic,4046
Zack Space,Harrison,18.0,US Representative,Democratic,4975
Fred Dailey,Harrison,18.0,US Representative,Republican,2635
Bob Latta,Henry,5.0,US Representative,Republican,10016
George Mays,Henry,5.0,US Representative,Democratic,4115
Mike Turner,Highland,3.0,US Representative,Republican,12227
Jane Mitakides,Highland,3.0,US Representative,Democratic,6074
Zack Space,Hocking,18.0,US Representative,Democratic,7565
Fred Dailey,Hocking,18.0,US Representative,Republican,4627
Fred Dailey,Holmes,18.0,US Representative,Republican,6409
Zack Space,Holmes,18.0,US Representative,Democratic,3829
Bob Latta,Huron,5.0,US Representative,Republican,13124
George Mays,Huron,5.0,US Representative,Democratic,10127
Zack Space,Jackson,18.0,US Representative,Democratic,7645
Fred Dailey,Jackson,18.0,US Representative,Republican,5649
Charlie Wilson,Jefferson,6.0,US Representative,Democratic,24504
Richard Stobbs,Jefferson,6.0,US Representative,Republican,9087
Dennis Spisak,Jefferson,6.0,US Representative,Green,1186
Fred Dailey,Knox,18.0,US Representative,Republican,14794
Zack Space,Knox,18.0,US Representative,Democratic,12398
Steven LaTourette,Lake,14.0,US Representative,Republican,70561
Bill O'Neill,Lake,14.0,US Representative,Democratic,41785
David Macko,Lake,14.0,US Representative,Libertarian,3051
Charlie Wilson,Lawrence,6.0,US Representative,Democratic,14527
Richard Stobbs,Lawrence,6.0,US Representative,Republican,10473
Dennis Spisak,Lawrence,6.0,US Representative,Green,832
Pat Tiberi,Licking,12.0,US Representative,Republican,34964
David Robinson,Licking,12.0,US Representative,Democratic,16040
Zack Space,Licking,18.0,US Representative,Democratic,13757
Fred Dailey,Licking,18.0,US Representative,Republican,11283
Steven Linnabary,Licking,12.0,US Representative,Libertarian,1564
Jim Jordan,Logan,4.0,US Representative,Republican,14686
Mike Carroll,Logan,4.0,US Representative,Democratic,6555
Betty Sutton,Lorain,13.0,US Representative,Democratic,64895
David Potter,Lorain,13.0,US Representative,Republican,32376
Marcy Kaptur,Lorain,9.0,US Representative,Democratic,23026
Bradley Leavitt,Lorain,9.0,US Representative,Republican,12465
Robert Crow,Lorain,13.0,US Representative,Independent,0
Marcy Kaptur,Lucas,9.0,US Representative,Democratic,156452
Bradley Leavitt,Lucas,9.0,US Representative,Republican,44604
Bob Latta,Lucas,5.0,US Representative,Republican,5977
George Mays,Lucas,5.0,US Representative,Democratic,3412
Steve Stivers,Madison,15.0,US Representative,Republican,9737
Mary Jo Kilroy,Madison,15.0,US Representative,Democratic,5274
Don Eckhart,Madison,15.0,US Representative,Independent,921
Mark Noble,Madison,15.0,US Representative,Libertarian,882
Travis Casper,Madison,15.0,US Representative,Independent,0
Tim Ryan,Mahoning,17.0,US Representative,Democratic,57942
Charlie Wilson,Mahoning,6.0,US Representative,Democratic,33675
Richard Stobbs,Mahoning,6.0,US Representative,Republican,16603
Duane Grassell,Mahoning,17.0,US Representative,Republican,8544
Dennis Spisak,Mahoning,6.0,US Representative,Green,3409
Jim Jordan,Marion,4.0,US Representative,Republican,14997
Mike Carroll,Marion,4.0,US Representative,Democratic,12018
John Boccieri,Medina,16.0,US Representative,Democratic,31168
Kirk Schuring,Medina,16.0,US Representative,Republican,24736
Betty Sutton,Medina,13.0,US Representative,Democratic,14558
David Potter,Medina,13.0,US Representative,Republican,11168
Robert Crow,Medina,13.0,US Representative,Independent,8
Charlie Wilson,Meigs,6.0,US Representative,Democratic,4934
Richard Stobbs,Meigs,6.0,US Representative,Republican,4274
Dennis Spisak,Meigs,6.0,US Representative,Green,441
John Boehner,Mercer,8.0,US Representative,Republican,12669
Bob Latta,Mercer,5.0,US Representative,Republican,3422
Nicholas von Stein,Mercer,8.0,US Representative,Democratic,3241
George Mays,Mercer,5.0,US Representative,Democratic,1315
John Boehner,Miami,8.0,US Representative,Republican,35927
Nicholas von Stein,Miami,8.0,US Representative,Democratic,13782
Charlie Wilson,Monroe,6.0,US Representative,Democratic,5212
Richard Stobbs,Monroe,6.0,US Representative,Republican,1462
Dennis Spisak,Monroe,6.0,US Representative,Green,194
Mike Turner,Montgomery,3.0,US Representative,Republican,136519
Jane Mitakides,Montgomery,3.0,US Representative,Democratic,91294
John Boehner,Montgomery,8.0,US Representative,Republican,20619
Nicholas von Stein,Montgomery,8.0,US Representative,Democratic,16332
Zack Space,Morgan,18.0,US Representative,Democratic,3764
Fred Dailey,Morgan,18.0,US Representative,Republican,2548
Jim Jordan,Morrow,4.0,US Representative,Republican,9357
Mike Carroll,Morrow,4.0,US Representative,Democratic,5936
Zack Space,Muskingum,18.0,US Representative,Democratic,23747
Fred Dailey,Muskingum,18.0,US Representative,Republican,14132
Charlie Wilson,Noble,6.0,US Representative,Democratic,3434
Richard Stobbs,Noble,6.0,US Representative,Republican,2100
Dennis Spisak,Noble,6.0,US Representative,Green,284
Marcy Kaptur,Ottawa,9.0,US Representative,Democratic,15357
Bradley Leavitt,Ottawa,9.0,US Representative,Republican,7338
Bob Latta,Paulding,5.0,US Representative,Republican,5819
George Mays,Paulding,5.0,US Representative,Democratic,3516
Steve Austria,Perry,7.0,US Representative,Republican,7455
Sharen Neuhardt,Perry,7.0,US Representative,Democratic,6820
Steve Austria,Pickaway,7.0,US Representative,Republican,13321
Sharen Neuhardt,Pickaway,7.0,US Representative,Democratic,8654
Victoria Wulsin,Pike,2.0,US Representative,Democratic,6348
Jean Schmidt,Pike,2.0,US Representative,Republican,4579
David Krikorian,Pike,2.0,US Representative,Independent,753
James Condit,Pike,2.0,US Representative,Independent,4
Tim Ryan,Portage,17.0,US Representative,Democratic,39717
Duane Grassell,Portage,17.0,US Representative,Republican,16959
Steven LaTourette,Portage,14.0,US Representative,Republican,9072
Bill O'Neill,Portage,14.0,US Representative,Democratic,5869
David Macko,Portage,14.0,US Representative,Libertarian,589
John Boehner,Preble,8.0,US Representative,Republican,14397
Nicholas von Stein,Preble,8.0,US Representative,Democratic,5914
Bob Latta,Putnam,5.0,US Representative,Republican,13963
George Mays,Putnam,5.0,US Representative,Democratic,3965
Jim Jordan,Richland,4.0,US Representative,Republican,31437
Mike Carroll,Richland,4.0,US Representative,Democratic,25248
Zack Space,Ross,18.0,US Representative,Democratic,16170
Fred Dailey,Ross,18.0,US Representative,Republican,9803
Steve Austria,Ross,7.0,US Representative,Republican,2289
Sharen Neuhardt,Ross,7.0,US Representative,Democratic,1778
Bob Latta,Sandusky,5.0,US Representative,Republican,17430
George Mays,Sandusky,5.0,US Representative,Democratic,11705
Victoria Wulsin,Scioto,2.0,US Representative,Democratic,10043
Charlie Wilson,Scioto,6.0,US Representative,Democratic,7705
Jean Schmidt,Scioto,2.0,US Representative,Republican,6652
Richard Stobbs,Scioto,6.0,US Representative,Republican,5615
David Krikorian,Scioto,2.0,US Representative,Independent,790
Dennis Spisak,Scioto,6.0,US Representative,Green,316
James Condit,Scioto,2.0,US Representative,Independent,0
Bob Latta,Seneca,5.0,US Representative,Republican,16431
George Mays,Seneca,5.0,US Representative,Democratic,9909
Jim Jordan,Shelby,4.0,US Representative,Republican,17117
Mike Carroll,Shelby,4.0,US Representative,Democratic,5919
John Boccieri,Stark,16.0,US Representative,Democratic,103980
Kirk Schuring,Stark,16.0,US Representative,Republican,77541
Betty Sutton,Summit,13.0,US Representative,Democratic,89417
Tim Ryan,Summit,17.0,US Representative,Democratic,41099
David Potter,Summit,13.0,US Representative,Republican,38466
Steven LaTourette,Summit,14.0,US Representative,Republican,37993
Bill O'Neill,Summit,14.0,US Representative,Democratic,29566
Duane Grassell,Summit,17.0,US Representative,Republican,16392
David Macko,Summit,14.0,US Representative,Libertarian,2231
Robert Crow,Summit,13.0,US Representative,Independent,28
Tim Ryan,Trumbull,17.0,US Representative,Democratic,80138
Duane Grassell,Trumbull,17.0,US Representative,Republican,19321
Steven LaTourette,Trumbull,14.0,US Representative,Republican,2246
Bill O'Neill,Trumbull,14.0,US Representative,Democratic,1810
David Macko,Trumbull,14.0,US Representative,Libertarian,200
Zack Space,Tuscarawas,18.0,US Representative,Democratic,29482
Fred Dailey,Tuscarawas,18.0,US Representative,Republican,12707
Steve Stivers,Union,15.0,US Representative,Republican,14866
Mary Jo Kilroy,Union,15.0,US Representative,Democratic,6791
Mark Noble,Union,15.0,US Representative,Libertarian,1090
Don Eckhart,Union,15.0,US Representative,Independent,1066
Travis Casper,Union,15.0,US Representative,Independent,0
Bob Latta,Van Wert,5.0,US Representative,Republican,10020
George Mays,Van Wert,5.0,US Representative,Democratic,4077
Zack Space,Vinton,18.0,US Representative,Democratic,3339
Fred Dailey,Vinton,18.0,US Representative,Republican,2212
Mike Turner,Warren,3.0,US Representative,Republican,38084
Jean Schmidt,Warren,2.0,US Representative,Republican,26190
Victoria Wulsin,Warren,2.0,US Representative,Democratic,15182
Jane Mitakides,Warren,3.0,US Representative,Democratic,13425
David Krikorian,Warren,2.0,US Representative,Independent,7752
James Condit,Warren,2.0,US Representative,Independent,0
Charlie Wilson,Washington,6.0,US Representative,Democratic,15212
Richard Stobbs,Washington,6.0,US Representative,Republican,11634
Dennis Spisak,Washington,6.0,US Representative,Green,1314
John Boccieri,Wayne,16.0,US Representative,Democratic,24944
Kirk Schuring,Wayne,16.0,US Representative,Republican,24743
Bob Latta,Williams,5.0,US Representative,Republican,11503
George Mays,Williams,5.0,US Representative,Democratic,5899
Bob Latta,Wood,5.0,US Representative,Republican,37667
George Mays,Wood,5.0,US Representative,Democratic,23108
Jim Jordan,Wyandot,4.0,US Representative,Republican,3640
Bob Latta,Wyandot,5.0,US Representative,Republican,3251
Mike Carroll,Wyandot,4.0,US Representative,Democratic,1821
George Mays,Wyandot,5.0,US Representative,Democratic,1611
